ticker,field,issue_type,period_end_date,details
WDAY,revenue,restatement,2016-01-31,Value changed across filings: 1162346000 (filed 2016-03-22) -> 1156690000 (filed 2018-03-14). Keeping the later filing's value.
WDAY,revenue,restatement,2017-01-31,Value changed across filings: 1569407000 (filed 2017-03-20) -> 1574440000 (filed 2018-03-14). Keeping the later filing's value.
WDAY,revenue,restatement,2022-01-31,Value changed across filings: 5138798000 (filed 2022-02-28) -> 5139000000 (filed 2024-03-08). Keeping the later filing's value.
WDAY,revenue,restatement,2023-01-31,Value changed across filings: 6215818000 (filed 2023-02-27) -> 6216000000 (filed 2025-03-11). Keeping the later filing's value.
WDAY,operating_income,restatement,2016-01-31,Value changed across filings: -264659000 (filed 2016-03-22) -> -249789000 (filed 2018-03-14). Keeping the later filing's value.
WDAY,operating_income,restatement,2017-01-31,Value changed across filings: -376665000 (filed 2017-03-20) -> -353086000 (filed 2019-03-18). Keeping the later filing's value.
WDAY,operating_income,restatement,2022-01-31,Value changed across filings: -116450000 (filed 2022-02-28) -> -116000000 (filed 2024-03-08). Keeping the later filing's value.
WDAY,operating_income,restatement,2023-01-31,Value changed across filings: -222200000 (filed 2023-02-27) -> -222000000 (filed 2025-03-11). Keeping the later filing's value.
WDAY,net_income,restatement,2016-01-31,Value changed across filings: -289918000 (filed 2016-03-22) -> -275048000 (filed 2018-03-14). Keeping the later filing's value.
WDAY,net_income,restatement,2017-01-31,Value changed across filings: -408278000 (filed 2017-03-20) -> -384699000 (filed 2019-03-18). Keeping the later filing's value.
WDAY,net_income,restatement,2022-01-31,Value changed across filings: 29373000 (filed 2022-02-28) -> 29000000 (filed 2024-03-08). Keeping the later filing's value.
WDAY,net_income,restatement,2023-01-31,Value changed across filings: -366749000 (filed 2023-02-27) -> -367000000 (filed 2025-03-11). Keeping the later filing's value.
WDAY,income_tax_expense,restatement,2022-01-31,Value changed across filings: -13191000 (filed 2022-02-28) -> -13000000 (filed 2024-03-08). Keeping the later filing's value.
WDAY,income_tax_expense,restatement,2023-01-31,Value changed across filings: 106799000 (filed 2023-02-27) -> 107000000 (filed 2025-03-11). Keeping the later filing's value.
WDAY,pretax_income,tag_fallback,,"Primary tag 'IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest' didn't cover every year; filled gaps from ['IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments'] (period-by-period, only for dates the higher-priority tag never reports)."
WDAY,pretax_income,restatement,2022-01-31,Value changed across filings: 16182000 (filed 2022-02-28) -> 16000000 (filed 2024-03-08). Keeping the later filing's value.
WDAY,pretax_income,restatement,2023-01-31,Value changed across filings: -259950000 (filed 2023-02-27) -> -260000000 (filed 2025-03-11). Keeping the later filing's value.
WDAY,pretax_income,restatement,2016-01-31,Value changed across filings: -288901000 (filed 2016-03-22) -> -274031000 (filed 2018-03-14). Keeping the later filing's value.
WDAY,pretax_income,restatement,2017-01-31,Value changed across filings: -409092000 (filed 2017-03-20) -> -385513000 (filed 2019-03-18). Keeping the later filing's value.
WDAY,interest_expense,tag_fallback,,"Primary tag 'InterestExpense' didn't cover every year; filled gaps from ['InterestExpenseDebt'] (period-by-period, only for dates the higher-priority tag never reports)."
WDAY,interest_expense,restatement,2022-01-31,Value changed across filings: 16602000 (filed 2022-02-28) -> 17000000 (filed 2024-03-08). Keeping the later filing's value.
WDAY,interest_expense,restatement,2023-01-31,Value changed across filings: 102353000 (filed 2023-02-27) -> 102000000 (filed 2024-03-08). Keeping the later filing's value.
WDAY,depreciation_amortization,tag_fallback,,"Primary tag 'DepreciationDepletionAndAmortization' didn't cover every year; filled gaps from ['DepreciationAndAmortization'] (period-by-period, only for dates the higher-priority tag never reports)."
WDAY,depreciation_amortization,restatement,2017-01-31,Value changed across filings: 115885000 (filed 2017-03-20) -> 105825000 (filed 2019-03-18). Keeping the later filing's value.
WDAY,depreciation_amortization,restatement,2018-01-31,Value changed across filings: 136974000 (filed 2018-03-14) -> 135723000 (filed 2019-03-18). Keeping the later filing's value.
WDAY,capex,tag_fallback,,"Primary tag 'PaymentsToAcquirePropertyPlantAndEquipment' didn't cover every year; filled gaps from ['PaymentsToAcquireProductiveAssets'] (period-by-period, only for dates the higher-priority tag never reports)."
WDAY,operating_cash_flow,tag_fallback,,"Primary tag 'NetCashProvidedByUsedInOperatingActivities' didn't cover every year; filled gaps from ['NetCashProvidedByUsedInOperatingActivitiesContinuingOperations'] (period-by-period, only for dates the higher-priority tag never reports)."
WDAY,operating_cash_flow,restatement,2017-01-31,Value changed across filings: 348655000 (filed 2017-03-20) -> 350626000 (filed 2019-03-18). Keeping the later filing's value.
WDAY,operating_cash_flow,restatement,2022-01-31,Value changed across filings: 1650704000 (filed 2022-02-28) -> 1651000000 (filed 2024-03-08). Keeping the later filing's value.
WDAY,operating_cash_flow,restatement,2023-01-31,Value changed across filings: 1657195000 (filed 2023-02-27) -> 1657000000 (filed 2025-03-11). Keeping the later filing's value.
WDAY,cash_and_equivalents,restatement,2022-01-31,Value changed across filings: 1534273000 (filed 2022-02-28) -> 1534000000 (filed 2024-03-08). Keeping the later filing's value.
WDAY,cash_and_equivalents,restatement,2023-01-31,Value changed across filings: 1886311000 (filed 2023-02-27) -> 1886000000 (filed 2025-03-11). Keeping the later filing's value.
WDAY,short_term_debt,tag_fallback,,"Primary tag 'LongTermDebtCurrent' didn't cover every year; filled gaps from ['ConvertibleDebtCurrent', 'ConvertibleNotesPayableCurrent'] (period-by-period, only for dates the higher-priority tag never reports)."
WDAY,long_term_debt,tag_fallback,,"Primary tag 'LongTermDebtNoncurrent' didn't cover every year; filled gaps from ['ConvertibleDebtNoncurrent', 'ConvertibleDebt'] (period-by-period, only for dates the higher-priority tag never reports)."
WDAY,long_term_debt,restatement,2023-01-31,Value changed across filings: 2975934000 (filed 2023-02-27) -> 2976000000 (filed 2024-03-08). Keeping the later filing's value.
WDAY,long_term_debt,restatement,2015-01-31,Value changed across filings: 490501000 (filed 2015-03-25) -> 481958000 (filed 2016-03-22). Keeping the later filing's value.
WDAY,total_debt,partial_debt_components,2014-01-31,Only one of short_term_debt (None) / long_term_debt (468412000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
WDAY,total_debt,partial_debt_components,2015-01-31,Only one of short_term_debt (None) / long_term_debt (481958000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
WDAY,total_debt,partial_debt_components,2016-01-31,Only one of short_term_debt (None) / long_term_debt (507476000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
WDAY,total_debt,partial_debt_components,2017-01-31,Only one of short_term_debt (0) / long_term_debt (None) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
